Using GPU
1
Epoch 177/300 | Loss: 1.2466 | Acc: 49.61%
Epoch 178/300 | Loss: 1.3341 | Acc: 49.09%
Epoch 179/300 | Loss: 1.5583 | Acc: 49.13%
Epoch 180/300 | Loss: 1.3629 | Acc: 50.16%
Epoch 181/300 | Loss: 1.2977 | Acc: 49.74%
Epoch 182/300 | Loss: 1.1805 | Acc: 49.86%
Epoch 183/300 | Loss: 1.4486 | Acc: 50.37%
Epoch 184/300 | Loss: 1.3834 | Acc: 50.20%
Epoch 185/300 | Loss: 1.2099 | Acc: 49.80%
Epoch 186/300 | Loss: 1.2748 | Acc: 49.80%
Epoch 187/300 | Loss: 1.2861 | Acc: 49.43%
Epoch 188/300 | Loss: 1.2677 | Acc: 50.22%
Epoch 189/300 | Loss: 1.3486 | Acc: 49.49%
Epoch 190/300 | Loss: 1.3293 | Acc: 49.95%
Epoch 191/300 | Loss: 1.4316 | Acc: 50.13%
Epoch 192/300 | Loss: 1.4035 | Acc: 50.03%
Epoch 193/300 | Loss: 1.3981 | Acc: 50.00%
Epoch 194/300 | Loss: 1.1975 | Acc: 49.68%
Epoch 195/300 | Loss: 1.4632 | Acc: 50.46%
Epoch 196/300 | Loss: 1.3021 | Acc: 50.07%
Epoch 197/300 | Loss: 1.2905 | Acc: 50.65%
Epoch 198/300 | Loss: 1.2646 | Acc: 50.38%
Epoch 199/300 | Loss: 1.3016 | Acc: 50.25%
Epoch 200/300 | Loss: 1.3299 | Acc: 50.43%
Epoch 201/300 | Loss: 1.5596 | Acc: 50.14%
Epoch 202/300 | Loss: 1.4452 | Acc: 49.83%
Epoch 203/300 | Loss: 1.3396 | Acc: 50.01%
Epoch 204/300 | Loss: 1.2431 | Acc: 49.71%
Epoch 205/300 | Loss: 1.3550 | Acc: 49.60%
Epoch 206/300 | Loss: 1.3956 | Acc: 50.64%
Epoch 207/300 | Loss: 1.4169 | Acc: 50.20%
Epoch 208/300 | Loss: 1.3133 | Acc: 50.39%
Epoch 209/300 | Loss: 1.1723 | Acc: 49.98%
Epoch 210/300 | Loss: 1.3951 | Acc: 50.94%
Epoch 211/300 | Loss: 1.3567 | Acc: 50.31%
Epoch 212/300 | Loss: 1.2059 | Acc: 50.61%
Epoch 213/300 | Loss: 1.2846 | Acc: 50.55%
Epoch 214/300 | Loss: 1.3062 | Acc: 50.48%
Epoch 215/300 | Loss: 1.3600 | Acc: 49.93%
Epoch 216/300 | Loss: 1.2535 | Acc: 50.85%
Epoch 217/300 | Loss: 1.5374 | Acc: 50.60%
Epoch 218/300 | Loss: 1.3116 | Acc: 50.13%
Epoch 219/300 | Loss: 1.4271 | Acc: 49.80%
Epoch 220/300 | Loss: 1.2721 | Acc: 50.41%
Epoch 221/300 | Loss: 1.4389 | Acc: 50.96%
Epoch 222/300 | Loss: 1.3828 | Acc: 50.80%
Epoch 223/300 | Loss: 1.3386 | Acc: 50.63%
Epoch 224/300 | Loss: 1.2464 | Acc: 50.16%
Epoch 225/300 | Loss: 1.1588 | Acc: 50.49%
Epoch 226/300 | Loss: 1.2610 | Acc: 50.27%
Epoch 227/300 | Loss: 1.3160 | Acc: 50.49%
Epoch 228/300 | Loss: 1.3727 | Acc: 51.16%
Epoch 229/300 | Loss: 1.4535 | Acc: 50.34%
